0:0:0:0:0:0:0:1 - - [18/Mar/2020:20:59:55 +0530] "GET /MajorProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2020:20:59:56 +0530] "GET /MajorProject/admin.jsp HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [18/Mar/2020:20:59:57 +0530] "GET /MajorProject/owner.jsp HTTP/1.1" 200 4901
0:0:0:0:0:0:0:1 - - [18/Mar/2020:21:00:32 +0530] "GET /MajorProject/owner.jsp HTTP/1.1" 200 4901
0:0:0:0:0:0:0:1 - - [18/Mar/2020:21:00:34 +0530] "GET /MajorProject/admin.jsp HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [18/Mar/2020:21:01:01 +0530] "GET /MajorProject/admin.jsp HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [18/Mar/2020:21:01:06 +0530] "GET /MajorProject/owner.jsp HTTP/1.1" 200 4901
0:0:0:0:0:0:0:1 - - [18/Mar/2020:21:01:21 +0530] "GET /MajorProject/admin.jsp HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [18/Mar/2020:21:02:52 +0530] "GET /MajorProject/admin.jsp HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [18/Mar/2020:21:02:59 +0530] "GET /MajorProject/admin.jsp HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [18/Mar/2020:21:03:09 +0530] "GET /MajorProject/admin.jsp HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [18/Mar/2020:21:03:31 +0530] "GET /MajorProject/admin.jsp HTTP/1.1" 200 4227
0:0:0:0:0:0:0:1 - - [18/Mar/2020:21:03:35 +0530] "GET /MajorProject/admin.jsp HTTP/1.1" 200 4227
0:0:0:0:0:0:0:1 - - [18/Mar/2020:21:03:35 +0530] "GET /MajorProject/owner.jsp HTTP/1.1" 200 4901
0:0:0:0:0:0:0:1 - - [18/Mar/2020:21:03:37 +0530] "GET /MajorProject/owner.jsp HTTP/1.1" 200 4901
